,Scope,Level,Level.1,Level.2,Level.3,Column Text,Unit,GHG,GHG Emission factor
153,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),litre,CO2,2.537784
154,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),litre,CH4,0.017856
155,1,Fuel,Transport fuel emission factors,Aviation fuel (Kerosene),,Aviation fuel (Kerosene),litre,N2O,0.07068
156,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,GJ,CO2e,68.27
157,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,GJ,CO2,65.89
158,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,GJ,CH4,0.48
159,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,GJ,N2O,1.9
160,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,litre,CO2e,2.3123049
161,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,litre,CO2,2.2316943
162,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,litre,CH4,0.0162576
163,1,Fuel,Transport fuel emission factors,Aviation gas,,Aviation gas,litre,N2O,0.064353
164,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,kWh,CO2e,0.011564454
165,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,kWh,CO2,
166,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,kWh,CH4,0.011564454
167,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,kWh,N2O,
168,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,GJ,CO2e,3.212348461
169,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,GJ,CO2,
170,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,GJ,CH4,3.212348461
171,3,Transmission and distribution losses,Transmission and distribution losses,,,Natural gas used,GJ,N2O,
172,3,Transmission and distribution losses,Transmission and distribution losses,,2020,Electricity used,kWh,CO2e,0.00972111
173,3,Transmission and distribution losses,Transmission and distribution losses,,2020,Electricity used,kWh,CO2,0.00972111
174,3,Transmission and distribution losses,Transmission and distribution losses,,2020,Electricity used,kWh,CH4,1e-05
175,3,Transmission and distribution losses,Transmission and distribution losses,,2020,Electricity used,kWh,N2O,1e-07
176,3,Transmission and distribution losses,Transmission and distribution losses,,2019,Electricity used,kWh,CO2e,0.008711078
177,3,Transmission and distribution losses,Transmission and distribution losses,,2019,Electricity used,kWh,CO2,0.008711078
178,3,Transmission and distribution losses,Transmission and distribution losses,,2019,Electricity used,kWh,CH4,1e-05
179,3,Transmission and distribution losses,Transmission and distribution losses,,2019,Electricity used,kWh,N2O,1e-07
180,3,Transmission and distribution losses,Transmission and distribution losses,,2018,Electricity used,kWh,CO2e,0.008694964
181,3,Transmission and distribution losses,Transmission and distribution losses,,2018,Electricity used,kWh,CO2,0.00835064
182,3,Transmission and distribution losses,Transmission and distribution losses,,2018,Electricity used,kWh,CH4,0.000332393
183,3,Transmission and distribution losses,Transmission and distribution losses,,2018,Electricity used,kWh,N2O,1.19e-05
184,3,Transmission and distribution losses,Transmission and distribution losses,,2017,Electricity used,kWh,CO2e,0.0082489
185,3,Transmission and distribution losses,Transmission and distribution losses,,2017,Electricity used,kWh,CO2,0.007922239
186,3,Transmission and distribution losses,Transmission and distribution losses,,2017,Electricity used,kWh,CH4,0.000315341
187,3,Transmission and distribution losses,Transmission and distribution losses,,2017,Electricity used,kWh,N2O,1.13e-05
188,3,Transmission and distribution losses,Transmission and distribution losses,,2016,Electricity used,kWh,CO2e,0.006403987
189,3,Transmission and distribution losses,Transmission and distribution losses,,2016,Electricity used,kWh,CO2,0.006150386
190,3,Transmission and distribution losses,Transmission and distribution losses,,2016,Electricity used,kWh,CH4,0.000244813
191,3,Transmission and distribution losses,Transmission and distribution losses,,2016,Electricity used,kWh,N2O,8.79e-06
192,3,Transmission and distribution losses,Transmission and distribution losses,,2015,Electricity used,kWh,CO2e,0.00696598
193,3,Transmission and distribution losses,Transmission and distribution losses,,2015,Electricity used,kWh,CO2,0.006690124
194,3,Transmission and distribution losses,Transmission and distribution losses,,2015,Electricity used,kWh,CH4,0.000266297
195,3,Transmission and distribution losses,Transmission and distribution losses,,2015,Electricity used,kWh,N2O,9.56e-06
196,3,Transmission and distribution losses,Transmission and distribution losses,,2014,Electricity used,kWh,CO2e,0.007040726
197,3,Transmission and distribution losses,Transmission and distribution losses,,2014,Electricity used,kWh,CO2,0.00676191
198,3,Transmission and distribution losses,Transmission and distribution losses,,2014,Electricity used,kWh,CH4,0.000269155
199,3,Transmission and distribution losses,Transmission and distribution losses,,2014,Electricity used,kWh,N2O,9.66e-06
200,3,Transmission and distribution losses,Transmission and distribution losses,,2013,Electricity used,kWh,CO2e,0.00850266
201,3,Transmission and distribution losses,Transmission and distribution losses,,2013,Electricity used,kWh,CO2,0.00816595
202,3,Transmission and distribution losses,Transmission and distribution losses,,2013,Electricity used,kWh,CH4,0.000325042
203,3,Transmission and distribution losses,Transmission and distribution losses,,2013,Electricity used,kWh,N2O,1.17e-05
204,3,Transmission and distribution losses,Transmission and distribution losses,,2012,Electricity used,kWh,CO2e,0.012268445
205,3,Transmission and distribution losses,Transmission and distribution losses,,2012,Electricity used,kWh,CO2,0.011782609
206,3,Transmission and distribution losses,Transmission and distribution losses,,2012,Electricity used,kWh,CH4,0.000469001
207,3,Transmission and distribution losses,Transmission and distribution losses,,2012,Electricity used,kWh,N2O,1.68e-05
208,3,Transmission and distribution losses,Transmission and distribution losses,,2011,Electricity used,kWh,CO2e,0.009027464
209,3,Transmission and distribution losses,Transmission and distribution losses,,2011,Electricity used,kWh,CO2,0.008669972
210,3,Transmission and distribution losses,Transmission and distribution losses,,2011,Electricity used,kWh,CH4,0.000345104
211,3,Transmission and distribution losses,Transmission and distribution losses,,2011,Electricity used,kWh,N2O,1.24e-05
212,3,Transmission and distribution losses,Transmission and distribution losses,,2010,Electricity used,kWh,CO2e,0.009798522
213,3,Transmission and distribution losses,Transmission and distribution losses,,2010,Electricity used,kWh,CO2,0.009410497
214,3,Transmission and distribution losses,Transmission and distribution losses,,2010,Electricity used,kWh,CH4,0.00037458
215,3,Transmission and distribution losses,Transmission and distribution losses,,2010,Electricity used,kWh,N2O,1.34e-05
216,2,Electricity used,Electricity used,Annual Average,2020,Electricity used,kWh,CO2e,0.10717787483367879
217,2,Electricity used,Electricity used,Annual Average,2020,Electricity used,kWh,CO2,0.10706612816032096
218,2,Electricity used,Electricity used,Annual Average,2020,Electricity used,kWh,CH4,0.00011099324342974641
219,2,Electricity used,Electricity used,Annual Average,2020,Electricity used,kWh,N2O,7.534299280666783e-07
220,2,Electricity used,Electricity used,Annual Average,2019,Electricity used,kWh,CO2e,0.09672720983560035
221,2,Electricity used,Electricity used,Annual Average,2019,Electricity used,kWh,CO2,0.09661095063656605
222,2,Electricity used,Electricity used,Annual Average,2019,Electricity used,kWh,CH4,0.00011560358968586406
223,2,Electricity used,Electricity used,Annual Average,2019,Electricity used,kWh,N2O,6.556093484367086e-07
224,2,Electricity used,Electricity used,Annual Average,2018,Electricity used,kWh,CO2e,0.101405183
225,2,Electricity used,Electricity used,Annual Average,2018,Electricity used,kWh,CO2,0.097389492
226,2,Electricity used,Electricity used,Annual Average,2018,Electricity used,kWh,CH4,0.003876543
